symbol,exchange,date,underlying_price,option_symbol,expiration,strike,call_put,style,ask,bid,mean_price,volume,open_interest,iv,iv_raw,delta,gamma,vega,theta,rho,oi_2,option_id,trade_date_fetch
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00563000,2025-03-21,563.0,C,A,41.92,40.82,41.37,0,597.65,0.200882,0.200882,0.825605,0.006019,0.543746,-0.164363,0.569195,0,7,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00581000,2025-03-21,581.0,C,A,26.65,25.76,26.205,0,597.65,0.174608,0.174608,0.712678,0.009188,0.721528,-0.177499,0.503309,1,9,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00579000,2025-03-21,579.0,C,A,28.29,27.34,27.815,0,597.65,0.177674,0.177674,0.728142,0.008789,0.702317,-0.176946,0.512919,3,7,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00580000,2025-03-21,580.0,C,A,27.26,26.92,27.09,0,597.65,0.177308,0.177308,0.719363,0.008946,0.713408,-0.178355,0.507226,124,11724,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00584000,2025-03-21,584.0,C,A,24.32,23.39,23.855,0,597.65,0.170213,0.170213,0.687588,0.009791,0.749542,-0.177984,0.487388,7,44,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00582000,2025-03-21,582.0,C,A,25.85,24.97,25.41,0,597.65,0.173079,0.173079,0.704605,0.00939,0.730963,-0.177677,0.498235,5,5,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00583000,2025-03-21,583.0,C,A,25.06,24.18,24.619999,0,597.65,0.171526,0.171526,0.696323,0.009596,0.740225,-0.177759,0.492997,0,25,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00587000,2025-03-21,587.0,C,A,21.74,21.72,21.73,0,597.65,0.167858,0.167858,0.658788,0.010293,0.777046,-0.17958,0.468391,20,59,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00576000,2025-03-21,576.0,C,A,30.71,29.77,30.24,0,597.65,0.181752,0.181752,0.750285,0.008223,0.672129,-0.175156,0.526529,4,39,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00577000,2025-03-21,577.0,C,A,29.93,28.93,29.43,0,597.65,0.180457,0.180457,0.743039,0.008408,0.682363,-0.175873,0.522096,2,7,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00590000,2025-03-21,590.0,C,A,19.52,19.51,19.515,0,597.65,0.163336,0.163336,0.629695,0.01089,0.799953,-0.178314,0.449287,772,14390,2025-02-03
SPY,NYSEArca,2025-02-03,597.77,SPY   250321C00588000,2025-03-21,588.0,C,A,20.99,20.98,20.985,0,597.65,0.166374,0.166374,0.649324,0.010491,0.785028,-0.17928,0.462207,15,76,2025-02-03
